city,year,weekofyear,total_cases
sj,2008,18,40
sj,2008,19,42
sj,2008,20,43
sj,2008,21,41
sj,2008,22,47
sj,2008,23,41
sj,2008,24,49
sj,2008,25,47
sj,2008,26,51
sj,2008,27,51
sj,2008,28,48
sj,2008,29,49
sj,2008,30,52
sj,2008,31,50
sj,2008,32,58
sj,2008,33,58
sj,2008,34,57
sj,2008,35,61
sj,2008,36,62
sj,2008,37,61
sj,2008,38,61
sj,2008,39,58
sj,2008,40,60
sj,2008,41,60
sj,2008,42,62
sj,2008,43,55
sj,2008,44,56
sj,2008,45,63
sj,2008,46,60
sj,2008,47,62
sj,2008,48,58
sj,2008,49,49
sj,2008,50,53
sj,2008,51,56
sj,2008,52,53
sj,2009,1,32
sj,2009,2,20
sj,2009,3,23
sj,2009,4,28
sj,2009,5,27
sj,2009,6,26
sj,2009,7,26
sj,2009,8,25
sj,2009,9,23
sj,2009,10,21
sj,2009,11,29
sj,2009,12,23
sj,2009,13,27
sj,2009,14,26
sj,2009,15,26
sj,2009,16,28
sj,2009,17,28
sj,2009,18,30
sj,2009,19,30
sj,2009,20,37
sj,2009,21,37
sj,2009,22,42
sj,2009,23,41
sj,2009,24,42
sj,2009,25,44
sj,2009,26,42
sj,2009,27,41
sj,2009,28,44
sj,2009,29,47
sj,2009,30,47
sj,2009,31,48
sj,2009,32,45
sj,2009,33,49
sj,2009,34,49
sj,2009,35,54
sj,2009,36,51
sj,2009,37,51
sj,2009,38,54
sj,2009,39,50
sj,2009,40,54
sj,2009,41,56
sj,2009,42,57
sj,2009,43,56
sj,2009,44,51
sj,2009,45,53
sj,2009,46,53
sj,2009,47,54
sj,2009,48,56
sj,2009,49,54
sj,2009,50,51
sj,2009,51,54
sj,2009,52,50
sj,2010,53,47
sj,2010,1,23
sj,2010,2,23
sj,2010,3,31
sj,2010,4,25
sj,2010,5,19
sj,2010,6,20
sj,2010,7,23
sj,2010,8,23
sj,2010,9,28
sj,2010,10,30
sj,2010,11,28
sj,2010,12,26
sj,2010,13,22
sj,2010,14,23
sj,2010,15,22
sj,2010,16,31
sj,2010,17,35
sj,2010,18,36
sj,2010,19,35
sj,2010,20,38
sj,2010,21,39
sj,2010,22,44
sj,2010,23,41
sj,2010,24,40
sj,2010,25,45
sj,2010,26,45
sj,2010,27,46
sj,2010,28,48
sj,2010,29,46
sj,2010,30,47
sj,2010,31,47
sj,2010,32,52
sj,2010,33,48
sj,2010,34,48
sj,2010,35,52
sj,2010,36,53
sj,2010,37,51
sj,2010,38,50
sj,2010,39,51
sj,2010,40,52
sj,2010,41,54
sj,2010,42,50
sj,2010,43,43
sj,2010,44,46
sj,2010,45,50
sj,2010,46,42
sj,2010,47,37
sj,2010,48,38
sj,2010,49,44
sj,2010,50,45
sj,2010,51,47
sj,2011,52,33
sj,2011,1,11
sj,2011,2,17
sj,2011,3,13
sj,2011,4,11
sj,2011,5,9
sj,2011,6,9
sj,2011,7,11
sj,2011,8,12
sj,2011,9,10
sj,2011,10,8
sj,2011,11,9
sj,2011,12,11
sj,2011,13,16
sj,2011,14,18
sj,2011,15,13
sj,2011,16,16
sj,2011,17,14
sj,2011,18,23
sj,2011,19,16
sj,2011,20,19
sj,2011,21,30
sj,2011,22,31
sj,2011,23,34
sj,2011,24,44
sj,2011,25,39
sj,2011,26,34
sj,2011,27,35
sj,2011,28,37
sj,2011,29,37
sj,2011,30,38
sj,2011,31,40
sj,2011,32,41
sj,2011,33,38
sj,2011,34,44
sj,2011,35,43
sj,2011,36,38
sj,2011,37,42
sj,2011,38,40
sj,2011,39,40
sj,2011,40,41
sj,2011,41,39
sj,2011,42,39
sj,2011,43,38
sj,2011,44,43
sj,2011,45,35
sj,2011,46,36
sj,2011,47,41
sj,2011,48,41
sj,2011,49,34
sj,2011,50,33
sj,2011,51,32
sj,2012,52,25
sj,2012,1,4
sj,2012,2,3
sj,2012,3,3
sj,2012,4,4
sj,2012,5,3
sj,2012,6,4
sj,2012,7,5
sj,2012,8,3
sj,2012,9,3
sj,2012,10,4
sj,2012,11,4
sj,2012,12,1
sj,2012,13,9
sj,2012,14,10
sj,2012,15,11
sj,2012,16,15
sj,2012,17,12
sj,2012,18,16
sj,2012,19,17
sj,2012,20,20
sj,2012,21,21
sj,2012,22,14
sj,2012,23,20
sj,2012,24,17
sj,2012,25,18
sj,2012,26,23
sj,2012,27,23
sj,2012,28,25
sj,2012,29,28
sj,2012,30,28
sj,2012,31,26
sj,2012,32,29
sj,2012,33,33
sj,2012,34,30
sj,2012,35,32
sj,2012,36,25
sj,2012,37,26
sj,2012,38,27
sj,2012,39,29
sj,2012,40,32
sj,2012,41,29
sj,2012,42,38
sj,2012,43,35
sj,2012,44,33
sj,2012,45,33
sj,2012,46,32
sj,2012,47,36
sj,2012,48,28
sj,2012,49,32
sj,2012,50,23
sj,2012,51,27
sj,2013,1,-4
sj,2013,2,-4
sj,2013,3,-4
sj,2013,4,-5
sj,2013,5,0
sj,2013,6,-3
sj,2013,7,-2
sj,2013,8,-4
sj,2013,9,-3
sj,2013,10,-4
sj,2013,11,0
sj,2013,12,-2
sj,2013,13,0
sj,2013,14,4
sj,2013,15,1
sj,2013,16,2
sj,2013,17,4
iq,2010,26,14
iq,2010,27,13
iq,2010,28,25
iq,2010,29,16
iq,2010,30,6
iq,2010,31,15
iq,2010,32,16
iq,2010,33,7
iq,2010,34,10
iq,2010,35,21
iq,2010,36,25
iq,2010,37,21
iq,2010,38,19
iq,2010,39,14
iq,2010,40,19
iq,2010,41,18
iq,2010,42,18
iq,2010,43,32
iq,2010,44,35
iq,2010,45,31
iq,2010,46,25
iq,2010,47,38
iq,2010,48,31
iq,2010,49,35
iq,2010,50,28
iq,2010,51,27
iq,2011,52,31
iq,2011,1,-1
iq,2011,2,4
iq,2011,3,6
iq,2011,4,-3
iq,2011,5,3
iq,2011,6,8
iq,2011,7,7
iq,2011,8,5
iq,2011,9,16
iq,2011,10,10
iq,2011,11,12
iq,2011,12,12
iq,2011,13,18
iq,2011,14,12
iq,2011,15,17
iq,2011,16,13
iq,2011,17,10
iq,2011,18,18
iq,2011,19,7
iq,2011,20,7
iq,2011,21,9
iq,2011,22,9
iq,2011,23,11
iq,2011,24,11
iq,2011,25,6
iq,2011,26,10
iq,2011,27,10
iq,2011,28,5
iq,2011,29,3
iq,2011,30,0
iq,2011,31,6
iq,2011,32,7
iq,2011,33,6
iq,2011,34,5
iq,2011,35,1
iq,2011,36,4
iq,2011,37,9
iq,2011,38,18
iq,2011,39,21
iq,2011,40,21
iq,2011,41,20
iq,2011,42,27
iq,2011,43,22
iq,2011,44,19
iq,2011,45,23
iq,2011,46,27
iq,2011,47,27
iq,2011,48,26
iq,2011,49,23
iq,2011,50,34
iq,2011,51,29
iq,2012,52,15
iq,2012,1,4
iq,2012,2,-4
iq,2012,3,0
iq,2012,4,-3
iq,2012,5,0
iq,2012,6,7
iq,2012,7,0
iq,2012,8,-9
iq,2012,9,-3
iq,2012,10,0
iq,2012,11,-1
iq,2012,12,1
iq,2012,13,0
iq,2012,14,0
iq,2012,15,0
iq,2012,16,12
iq,2012,17,5
iq,2012,18,5
iq,2012,19,-1
iq,2012,20,11
iq,2012,21,-6
iq,2012,22,0
iq,2012,23,-5
iq,2012,24,2
iq,2012,25,-3
iq,2012,26,0
iq,2012,27,-8
iq,2012,28,4
iq,2012,29,-2
iq,2012,30,5
iq,2012,31,1
iq,2012,32,0
iq,2012,33,-2
iq,2012,34,13
iq,2012,35,10
iq,2012,36,6
iq,2012,37,0
iq,2012,38,-2
iq,2012,39,2
iq,2012,40,8
iq,2012,41,13
iq,2012,42,10
iq,2012,43,27
iq,2012,44,13
iq,2012,45,12
iq,2012,46,26
iq,2012,47,34
iq,2012,48,35
iq,2012,49,18
iq,2012,50,19
iq,2012,51,27
iq,2013,1,-6
iq,2013,2,-10
iq,2013,3,-7
iq,2013,4,-6
iq,2013,5,0
iq,2013,6,-9
iq,2013,7,-11
iq,2013,8,0
iq,2013,9,-7
iq,2013,10,-3
iq,2013,11,-5
iq,2013,12,4
iq,2013,13,-2
iq,2013,14,-12
iq,2013,15,-9
iq,2013,16,7
iq,2013,17,7
iq,2013,18,-14
iq,2013,19,-1
iq,2013,20,0
iq,2013,21,2
iq,2013,22,-2
iq,2013,23,0
iq,2013,24,-3
iq,2013,25,-14
iq,2013,26,-16
